shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
FII XP LOG  CI;2024-07-25T15:13:13,000Z;103,7;104,35;103,43;10967;XPLG11;None
None
FII VINCI SCCI;2024-07-25T15:13:33,000Z;112,75;114,81;112,71;23009;VISC11;None
FII XP MALLSCI  ER;2024-07-25T15:13:33,000Z;112,18;112,79;112,16;31445;XPML11;None
FII TRX REALCI;2024-07-25T15:13:31,000Z;107;107,3;106,92;24650;TRXF11;None
BRASIL      ON      NM;2024-07-25T15:11:52,000Z;26,98;27,01;26,72;3727900;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-25T15:13:33,000Z;31,82;31,88;31,55;1519700;BPAC11;None
ELETROBRAS  ON      N1;2024-07-25T15:13:28,000Z;37,15;37,7;37,05;1055200;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-25T15:07:23,000Z;24,5;24,62;24,36;847300;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-25T15:13:27,000Z;42,74;42,78;42,12;158200;ORVR3;1,3348965
COSAN       ON      NM;2024-07-25T15:13:36,000Z;13,54;13,55;13,36;2225600;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-25T15:11:52,000Z;10,23;10,29;10,16;7867000;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-25T15:13:18,000Z;21,52;21,74;21,47;801500;KLBN11;None
COPASA      ON      NM;2024-07-25T15:12:55,000Z;22,06;22,2;21,5;347500;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-25T15:13:33,000Z;26,51;26,64;26,42;245600;SAPR11;None
PORTO SEGUROON      NM;2024-07-25T15:13:24,000Z;30,04;30,05;29,91;148900;PSSA3;4,0028974
TIM         ON      NM;2024-07-25T15:13:19,000Z;16,58;16,68;16,53;3623800;TIMS3;1,1721633
TELEF BRASILON;2024-07-25T15:13:17,000Z;49,06;49,43;48,95;479300;VIVT3;3,072659
FII RIZA TX CI;2024-07-26T14:15:00,000Z;94,33;94,49;94,05;5181;RZTR11;None
FIAGRO XP CACI;2024-07-26T14:14:52,000Z;8,21;8,21;8,17;44113;XPCA11;None
FII BEES CRICI;2024-07-26T14:16:08,000Z;67,03;67,1;66,97;531;BCRI11;None
FII XP CRED CI;2024-07-26T14:15:59,000Z;87,69;87,7;87,19;4045;XPCI11;None
FII MERITO ICI;2024-07-26T14:15:49,000Z;101,13;101,5;101,08;1529;MFII11;None
FII TG ATIVOCI;2024-07-26T14:16:10,000Z;121,11;121,6;121,01;14309;TGAR11;None
FII BC FUND CI;2024-07-26T14:11:18,000Z;50,32;50,6;50,27;5243;BRCR11;None
FII VINCI OFCI;2024-07-26T14:14:59,000Z;6,19;6,21;6,16;30787;VINO11;None
FII BC FFII CI;2024-07-26T14:14:59,000Z;8,43;8,47;8,39;80769;BCFF11;None
FII XP SELECCI;2024-07-26T14:16:10,000Z;7,72;7,73;7,67;5713;XPSF11;None
FII BTLG    CI  ER;2024-07-26T14:14:59,000Z;101,66;101,69;101;13912;BTLG11;None
FII VBI LOG CI;2024-07-26T14:15:38,000Z;117,24;117,24;115,91;4128;LVBI11;None
FII VINCI LGCI;2024-07-26T14:16:14,000Z;90,56;90,59;89,64;2473;VILG11;None
FII XP LOG  CI;2024-07-26T14:15:00,000Z;103,83;103,9;103,61;5592;XPLG11;None
FII HEDGEBS CI;2024-07-26T14:16:14,000Z;216,13;216,49;215,51;1823;HGBS11;None
FII VINCI SCCI;2024-07-26T14:14:55,000Z;113,63;113,87;113,21;6560;VISC11;None
FII XP MALLSCI  ER;2024-07-26T14:15:42,000Z;112,36;112,49;112,16;16605;XPML11;None
FII TRX REALCI;2024-07-26T14:16:12,000Z;107,39;107,39;106,56;28598;TRXF11;None
BRASIL      ON      NM;2024-07-26T14:12:08,000Z;26,76;26,96;26,72;1793600;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-26T14:12:54,000Z;32,22;32,33;32,03;706600;BPAC11;None
ELETROBRAS  ON      N1;2024-07-26T14:15:04,000Z;38,04;38,04;37,61;820800;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-26T14:16:13,000Z;24,57;24,59;24,41;273700;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-26T14:16:07,000Z;43,09;43,41;42,92;26600;ORVR3;1,3348965
COSAN       ON      NM;2024-07-26T14:15:03,000Z;13,48;13,62;13,4;1415000;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-26T14:11:53,000Z;10,14;10,21;10,12;2185800;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-26T14:15:59,000Z;21,32;21,44;21,25;285700;KLBN11;None
COPASA      ON      NM;2024-07-26T14:14:19,000Z;21,85;21,94;21,75;126500;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-26T14:15:33,000Z;26,65;26,68;26,5;77400;SAPR11;None
PORTO SEGUROON      NM;2024-07-26T14:16:05,000Z;30,22;30,38;30,03;375900;PSSA3;4,0028974
TIM         ON      NM;2024-07-26T14:16:20,000Z;16,36;16,41;16,2;1515200;TIMS3;1,1721633
TELEF BRASILON;2024-07-26T14:14:15,000Z;48,95;49,01;48,65;204400;VIVT3;3,072659
FII RIZA TX CI;2024-07-29T14:15:01,000Z;93,93;94,64;93,86;16550;RZTR11;None
FIAGRO XP CACI;2024-07-29T14:14:52,000Z;8,18;8,21;8,17;19789;XPCA11;None
FII BEES CRICI;2024-07-29T14:08:23,000Z;66,7;67,05;66,66;1880;BCRI11;None
FII XP CRED CI;2024-07-29T14:15:52,000Z;86,69;87,7;86,54;8848;XPCI11;None
FII MERITO ICI;2024-07-29T14:08:30,000Z;101,2;101,5;101;2405;MFII11;None
FII TG ATIVOCI;2024-07-29T14:15:53,000Z;120,65;121,18;120,35;13007;TGAR11;None
FII BC FUND CI;2024-07-29T14:15:49,000Z;49,22;50,54;49,15;19303;BRCR11;None
FII VINCI OFCI;2024-07-29T14:15:42,000Z;6,2;6,21;6,18;28239;VINO11;None
FII BC FFII CI;2024-07-29T14:13:59,000Z;8,31;8,43;8,24;126520;BCFF11;None
FII XP SELECCI;2024-07-29T14:15:53,000Z;7,72;7,75;7,7;6875;XPSF11;None
FII BTLG    CI;2024-07-29T14:14:55,000Z;100;101,44;99,59;25352;BTLG11;None
FII VBI LOG CI;2024-07-29T14:15:56,000Z;114,59;117,25;114,34;13603;LVBI11;None
FII VINCI LGCI;2024-07-29T14:15:54,000Z;90,82;91,19;88,59;5456;VILG11;None
FII XP LOG  CI;2024-07-29T14:14:54,000Z;103,56;104;103,3;8561;XPLG11;None
FII HEDGEBS CI;2024-07-29T14:15:52,000Z;217,25;217,41;215,89;4314;HGBS11;None
FII VINCI SCCI;2024-07-29T14:14:55,000Z;112,9;113,6;112,7;16218;VISC11;None
FII XP MALLSCI  ER;2024-07-29T14:15:55,000Z;112,07;112,73;112,05;29148;XPML11;None
FII TRX REALCI;2024-07-29T14:15:56,000Z;107,4;107,7;107;18709;TRXF11;None
BRASIL      ON      NM;2024-07-29T14:15:00,000Z;27,11;27,21;27;1839100;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-29T14:16:00,000Z;32,33;32,53;32,22;363000;BPAC11;None
ELETROBRAS  ON      N1;2024-07-29T14:15:52,000Z;38,33;38,54;38,06;552000;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-29T14:15:19,000Z;24,76;24,86;24,69;332700;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-29T14:12:09,000Z;43,27;43,95;43,06;40300;ORVR3;1,3348965
COSAN       ON      NM;2024-07-29T14:15:50,000Z;13,49;13,73;13,47;565800;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-29T14:16:02,000Z;10,32;10,33;10,25;2390200;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-29T14:16:00,000Z;21,39;21,52;21,2;1069300;KLBN11;None
COPASA      ON      NM;2024-07-29T14:16:00,000Z;21,82;22,09;21,69;113300;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-29T14:16:00,000Z;26,71;26,79;26,51;137100;SAPR11;None
PORTO SEGUROON      NM;2024-07-29T14:15:44,000Z;30,11;30,23;29,97;82500;PSSA3;4,0028974
TIM         ON      NM;2024-07-29T14:16:05,000Z;16,21;16,38;16,18;1383000;TIMS3;1,1721633
TELEF BRASILON;2024-07-29T14:15:01,000Z;48,5;48,65;48,01;344400;VIVT3;3,072659
FII RIZA TX CI;2024-07-30T14:15:00,000Z;93,69;93,99;93,45;7063;RZTR11;None
FIAGRO XP CACI;2024-07-30T14:15:01,000Z;8,09;8,11;8,06;29660;XPCA11;None
FII BEES CRICI;2024-07-30T14:11:03,000Z;66,79;66,79;66,31;1491;BCRI11;None
FII XP CRED CI;2024-07-30T14:15:44,000Z;86,84;87,5;86,24;6710;XPCI11;None
FII MERITO ICI;2024-07-30T14:15:06,000Z;101,35;101,5;101,08;887;MFII11;None
FII TG ATIVOCI;2024-07-30T14:15:50,000Z;120,45;120,5;119,58;13304;TGAR11;None
FII BC FUND CI;2024-07-30T14:15:50,000Z;49,88;50;49,3;10805;BRCR11;None
FII VINCI OFCI;2024-07-30T14:15:03,000Z;6,21;6,21;6,19;18543;VINO11;None
FII BC FFII CI;2024-07-30T14:15:45,000Z;8,28;8,38;8,27;119390;BCFF11;None
FII XP SELECCI;2024-07-30T14:15:43,000Z;7,71;7,76;7,67;11615;XPSF11;None
FII BTLG    CI;2024-07-30T14:15:04,000Z;100,4;100,55;100,01;13612;BTLG11;None
FII VBI LOG CI;2024-07-30T14:15:53,000Z;116,57;116,67;115,7;4785;LVBI11;None
FII VINCI LGCI;2024-07-30T14:15:53,000Z;88,19;89,6;87,81;5898;VILG11;None
FII XP LOG  CI;2024-07-30T14:14:50,000Z;103,18;103,49;102,9;8946;XPLG11;None
FII HEDGEBS CI;2024-07-30T14:15:55,000Z;212,84;214,43;212,8;5564;HGBS11;None
FII VINCI SCCI;2024-07-30T14:14:56,000Z;112,97;113,4;112,75;7301;VISC11;None
FII XP MALLSCI  ER;2024-07-30T14:15:53,000Z;111,27;111,66;110,92;34129;XPML11;None
FII TRX REALCI;2024-07-30T14:15:54,000Z;107,16;107,21;106,88;19769;TRXF11;None
BRASIL      ON      NM;2024-07-29T20:07:30,000Z;27,16;0;0;0;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-30T14:11:37,000Z;32,18;32,23;32,04;530100;BPAC11;None
ELETROBRAS  ON      N1;2024-07-30T14:15:56,000Z;38,1;38,2;37,92;536100;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-30T14:10:46,000Z;24,58;24,83;24,57;198600;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-30T14:15:18,000Z;42,97;43,25;42,61;62300;ORVR3;1,3348965
COSAN       ON      NM;2024-07-30T14:15:57,000Z;13,39;13,43;13,27;786500;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-30T14:15:08,000Z;10,27;10,32;10,24;2113900;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-30T14:13:16,000Z;21,84;22,33;21,66;1534600;KLBN11;None
COPASA      ON      NM;2024-07-30T14:15:46,000Z;22,04;22,19;21,91;149300;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-30T14:15:39,000Z;26,83;26,83;26,53;244600;SAPR11;None
PORTO SEGUROON      NM;2024-07-30T14:15:26,000Z;30,06;30,28;30,01;198600;PSSA3;4,0028974
TIM         ON      NM;2024-07-30T14:15:33,000Z;16,24;16,34;15,99;2294100;TIMS3;1,1721633
TELEF BRASILON;2024-07-30T14:14:58,000Z;47,73;48,99;47,1;951200;VIVT3;3,072659
FII RIZA TX CI;2024-07-31T14:12:38,000Z;93,81;94,19;93,8;10736;RZTR11;None
FIAGRO XP CACI;2024-07-31T14:14:40,000Z;8,08;8,14;8,06;42055;XPCA11;None
FII BEES CRICI;2024-07-31T14:14:47,000Z;67,27;67,32;66,96;1122;BCRI11;None
FII XP CRED CI;2024-07-31T14:15:47,000Z;86,99;87,48;86,75;4965;XPCI11;None
FII MERITO ICI;2024-07-31T14:15:21,000Z;101,5;101,5;100,98;1077;MFII11;None
FII TG ATIVOCI;2024-07-31T14:15:47,000Z;120,6;120,89;120,02;9525;TGAR11;None
FII BC FUND CI;2024-07-31T14:15:49,000Z;50,69;50,92;50,35;8132;BRCR11;None
FII VINCI OFCI;2024-07-31T14:14:57,000Z;6,19;6,21;6,18;60355;VINO11;None
FII BC FFII CI;2024-07-31T14:15:50,000Z;8,19;8,24;8,17;99808;BCFF11;None
FII XP SELECCI;2024-07-31T14:15:44,000Z;7,66;7,69;7,66;21026;XPSF11;None
FII BTLG    CI;2024-07-31T14:14:56,000Z;100,43;101,18;100,41;14489;BTLG11;None
FII VBI LOG CI;2024-07-31T14:12:14,000Z;116,96;117,7;116,54;4649;LVBI11;None
FII VINCI LGCI;2024-07-31T14:15:42,000Z;89,14;89,16;88,2;4632;VILG11;None
FII XP LOG  CI;2024-07-31T14:12:31,000Z;103,3;103,48;103,05;5880;XPLG11;None
FII HEDGEBS CI;2024-07-31T14:15:47,000Z;215,09;215,37;213,01;1894;HGBS11;None
FII VINCI SCCI;2024-07-31T14:14:53,000Z;112,9;113,66;112,5;11099;VISC11;None
FII XP MALLSCI  ER;2024-07-31T14:15:47,000Z;111,39;111,5;111,16;20353;XPML11;None
FII TRX REALCI;2024-07-31T14:10:54,000Z;107,15;107,35;107;19469;TRXF11;None
BRASIL      ON      NM;2024-07-31T14:12:09,000Z;26,79;27,05;26,71;2148800;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-31T14:12:00,000Z;32,38;32,63;32,09;676000;BPAC11;None
ELETROBRAS  ON      N1;2024-07-31T14:12:53,000Z;39,52;39,59;38,84;3174800;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-31T14:14:01,000Z;24,54;24,73;24,43;487400;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-31T14:15:44,000Z;42,74;42,85;42,41;26000;ORVR3;1,3348965
COSAN       ON      NM;2024-07-31T14:15:51,000Z;13,46;13,56;13,34;1313100;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-31T14:12:10,000Z;10,23;10,27;10,2;2209000;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-31T14:15:53,000Z;22,12;22,26;22;637500;KLBN11;None
COPASA      ON      NM;2024-07-31T14:12:24,000Z;21,56;22,19;20,91;707600;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-31T14:15:31,000Z;27,49;27,77;27,46;171600;SAPR11;None
PORTO SEGUROON      NM;2024-07-31T14:13:25,000Z;30,46;30,47;30,2;2928700;PSSA3;4,0028974
TIM         ON      NM;2024-07-31T14:15:53,000Z;16,89;16,95;16,53;2468800;TIMS3;1,1721633
TELEF BRASILON;2024-07-31T14:14:16,000Z;47,9;48;46,71;436600;VIVT3;3,1367833
FII RIZA TX CI;2024-08-01T14:15:01,000Z;92,84;93,29;92,6;9872;RZTR11;None
FIAGRO XP CACI;2024-08-01T14:14:54,000Z;8,09;8,1;8,03;34900;XPCA11;None
FII BEES CRICI;2024-08-01T14:15:46,000Z;66,9;66,98;66,5;1288;BCRI11;None
FII XP CRED CI;2024-08-01T14:15:45,000Z;85,8;86,32;85,67;3561;XPCI11;None
FII MERITO ICI;2024-08-01T14:13:53,000Z;100,96;100,98;100,61;1230;MFII11;None
FII TG ATIVOCI;2024-08-01T14:15:46,000Z;118,1;118,68;117,36;27125;TGAR11;None
FII BC FUND CI;2024-08-01T14:15:35,000Z;50,57;50,69;49,95;8406;BRCR11;None
FII VINCI OFCI;2024-08-01T14:14:57,000Z;6,2;6,21;6,04;93616;VINO11;None
FII BC FFII CI;2024-08-01T14:12:21,000Z;8,26;8,27;8,23;68831;BCFF11;None
FII XP SELECCI;2024-08-01T14:14:59,000Z;7,56;7,59;7,5;15738;XPSF11;None
FII BTLG    CI;2024-08-01T14:12:17,000Z;101,99;102,69;101,34;49611;BTLG11;None
FII VBI LOG CI;2024-08-01T14:14:50,000Z;114,58;115,68;114,39;5241;LVBI11;None
FII VINCI LGCI;2024-08-01T14:15:39,000Z;85,68;88,3;85,5;7736;VILG11;None
FII XP LOG  CI;2024-08-01T14:12:32,000Z;101,7;103,48;101,5;10086;XPLG11;None
FII HEDGEBS CI;2024-08-01T14:15:42,000Z;212,49;212,49;211,61;4017;HGBS11;None
FII VINCI SCCI;2024-08-01T14:12:26,000Z;112,24;112,79;112,03;8531;VISC11;None
FII XP MALLSCI  ER;2024-08-01T14:15:36,000Z;112,8;112,95;111,75;16801;XPML11;None
FII TRX REALCI;2024-08-01T14:12:11,000Z;106,24;107;106,2;10634;TRXF11;None
BRASIL      ON      NM;2024-08-01T14:15:50,000Z;26,5;26,72;26,43;4613600;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-08-01T14:10:56,000Z;33;33,29;32,73;1841900;BPAC11;None
ELETROBRAS  ON      N1;2024-08-01T14:15:48,000Z;40,37;40,39;39,66;1383400;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-08-01T14:15:52,000Z;24,76;24,78;24,37;818000;TRPL4;4,1514681
ORIZON      ON      NM;2024-08-01T14:14:30,000Z;42,8;43,1;42,56;37600;ORVR3;1,3348965
COSAN       ON      NM;2024-08-01T14:15:53,000Z;13,5;13,55;13,41;1743500;CSAN3;0,9669133
ITAUSA      PN      N1;2024-08-01T14:15:52,000Z;10,09;10,2;10,06;3159200;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-08-01T14:15:39,000Z;21,96;22,14;21,92;906600;KLBN11;None
COPASA      ON      NM;2024-08-01T14:15:52,000Z;21,41;21,71;21,38;925800;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-08-01T14:15:53,000Z;28,14;28,16;27,33;224200;SAPR11;None
PORTO SEGUROON      NM;2024-08-01T14:15:10,000Z;30,73;30,86;30,67;101100;PSSA3;4,0028974
TIM         ON      NM;2024-08-01T14:15:48,000Z;17,33;17,4;17,13;2239300;TIMS3;1,1721633
TELEF BRASILON;2024-08-01T14:15:01,000Z;49,69;49,73;48,57;315300;VIVT3;3,1367833
FII RIZA TX CI;2024-08-02T14:14:48,000Z;92,81;93,24;92,6;13559;RZTR11;None
FIAGRO XP CACI;2024-08-02T14:15:27,000Z;8,11;8,14;8,08;31330;XPCA11;None
FII BEES CRICI;2024-08-02T14:14:14,000Z;66,91;66,98;66,61;1494;BCRI11;None
FII XP CRED CI;2024-08-02T14:15:24,000Z;86,15;86,5;86,01;1627;XPCI11;None
FII MERITO ICI;2024-08-02T14:12:35,000Z;100,8;100,96;100,6;1028;MFII11;None
FII TG ATIVOCI;2024-08-02T14:15:39,000Z;118,95;119,07;118;15214;TGAR11;None
FII BC FUND CI;2024-08-02T14:15:38,000Z;50,2;50,3;50;2521;BRCR11;None
FII VINCI OFCI;2024-08-02T14:15:01,000Z;6,22;6,33;6,19;49169;VINO11;None
FII BC FFII CI;2024-08-02T14:15:40,000Z;8,4;8,4;8,33;55503;BCFF11;None
FII XP SELECCI;2024-08-02T14:15:26,000Z;7,46;7,53;7,42;14531;XPSF11;None
FII BTLG    CI;2024-08-02T14:15:07,000Z;101,8;102,19;101,75;14781;BTLG11;None
FII VBI LOG CI;2024-08-02T14:15:20,000Z;113,08;114,16;112,78;5195;LVBI11;None
FII VINCI LGCI;2024-08-02T14:15:23,000Z;85,5;86,16;85,4;6007;VILG11;None
FII XP LOG  CI;2024-08-02T14:15:07,000Z;102,65;102,78;102;9150;XPLG11;None
FII HEDGEBS CI;2024-08-02T14:15:25,000Z;213,91;213,96;212,05;2328;HGBS11;None
FII VINCI SCCI;2024-08-02T14:15:05,000Z;112,39;113,1;111,73;19043;VISC11;None
FII XP MALLSCI  ER;2024-08-02T14:15:35,000Z;112,57;112,68;112,15;19661;XPML11;None
FII TRX REALCI;2024-08-02T14:15:44,000Z;106,28;106,67;106,25;12727;TRXF11;None
BRASIL      ON      NM;2024-08-02T14:12:18,000Z;26,27;26,59;26,26;1946100;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-08-02T14:13:58,000Z;33,38;33,68;32,66;1798100;BPAC11;None
ELETROBRAS  ON      N1;2024-08-02T14:15:44,000Z;39,21;40,4;39,15;2779900;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-08-02T14:15:44,000Z;24,35;24,46;24,32;550000;TRPL4;4,1514681
ORIZON      ON      NM;2024-08-02T14:15:37,000Z;42,25;42,6;42,13;93400;ORVR3;1,3348965
COSAN       ON      NM;2024-08-02T14:15:25,000Z;13,03;13,26;13,03;1308800;CSAN3;0,9669133
ITAUSA      PN      N1;2024-08-02T14:13:39,000Z;9,92;10,01;9,88;3138200;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-08-02T14:15:40,000Z;21,95;22,16;21,89;277900;KLBN11;None
COPASA      ON      NM;2024-08-02T14:15:44,000Z;20,83;20,9;20,57;585300;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-08-02T14:15:09,000Z;28,18;28,34;27,85;160800;SAPR11;None
PORTO SEGUROON      NM;2024-08-02T14:15:30,000Z;30,72;30,95;30,59;168600;PSSA3;4,0028974
TIM         ON      NM;2024-08-02T14:15:08,000Z;17,65;17,67;17,43;751800;TIMS3;1,1721633
TELEF BRASILON;2024-08-02T14:14:59,000Z;50,46;51,08;50,4;434600;VIVT3;3,1367833
FII RIZA TX CI;2024-08-05T14:15:05,000Z;92,68;92,85;92,17;14090;RZTR11;None
FIAGRO XP CACI;2024-08-05T14:15:05,000Z;8,1;8,1;8,01;60101;XPCA11;None
FII BEES CRICI;2024-08-05T14:13:35,000Z;66;66,9;65,99;3638;BCRI11;None
FII XP CRED CI;2024-08-05T14:15:29,000Z;86,16;86,34;85,76;3695;XPCI11;None
FII MERITO ICI  ER;2024-08-05T14:14:58,000Z;99,95;100,82;99,54;3278;MFII11;None
FII TG ATIVOCI  ER;2024-08-05T14:15:28,000Z;118,05;119;117,56;16516;TGAR11;None
FII BC FUND CI;2024-08-05T14:15:21,000Z;50,79;51,48;50,5;5886;BRCR11;None
None
FII BC FFII CI;2024-08-05T14:14:46,000Z;8,24;8,34;8,19;125029;BCFF11;None
FII XP SELECCI;2024-08-05T14:15:14,000Z;7,32;7,38;7,3;28827;XPSF11;None
FII BTLG    CI;2024-08-05T14:14:59,000Z;99,93;100,15;99,4;29467;BTLG11;None
FII VBI LOG CI;2024-08-05T14:15:31,000Z;110,89;111,23;109,73;14709;LVBI11;None
FII VINCI LGCI;2024-08-05T14:15:22,000Z;84,59;84,96;84;5812;VILG11;None
FII XP LOG  CI;2024-08-05T14:15:04,000Z;101,34;101,89;100,59;19094;XPLG11;None
None
FII VINCI SCCI;2024-08-05T14:15:06,000Z;111,82;112,55;111,5;15765;VISC11;None
FII XP MALLSCI;2024-08-05T14:15:10,000Z;111,8;112,25;111,36;29031;XPML11;None
FII TRX REALCI;2024-08-05T14:15:33,000Z;105,37;105,89;104,93;19205;TRXF11;None
BRASIL      ON      NM;2024-08-05T14:11:54,000Z;26,08;26,15;25,6;6824700;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-08-05T14:15:28,000Z;31,63;32,03;30,9;6344200;BPAC11;None
ELETROBRAS  ON      N1;2024-08-05T14:11:54,000Z;37,83;37,97;37,23;1832000;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-08-05T14:15:26,000Z;24,07;24,31;23,91;985200;TRPL4;4,0537011
ORIZON      ON      NM;2024-08-05T14:15:01,000Z;41,62;41,89;40,81;75200;ORVR3;1,3348965
COSAN       ON      NM;2024-08-05T14:15:26,000Z;12,62;12,75;12,56;2503500;CSAN3;0,9669133
ITAUSA      PN      N1;2024-08-05T14:14:59,000Z;9,77;9,81;9,64;8160200;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-08-05T14:15:36,000Z;21,28;21,49;21,13;1059300;KLBN11;None
COPASA      ON      NM;2024-08-05T14:13:49,000Z;21;21,12;20,46;1250900;CSMG3;3,8743675
SANEPAR     UNT     N2;2024-08-05T14:15:03,000Z;28,26;28,35;27,67;813200;SAPR11;None
PORTO SEGUROON      NM;2024-08-05T14:15:25,000Z;30,42;30,57;30,15;234200;PSSA3;4,0028974
TIM         ON      NM;2024-08-05T14:15:37,000Z;17,26;17,61;17,21;1113600;TIMS3;1,1721633
TELEF BRASILON  EJ;2024-08-05T14:13:29,000Z;49,12;49,63;49,02;414700;VIVT3;3,1367833
FII RIZA TX CI;2024-08-06T20:07:00,000Z;93,42;0;0;0;RZTR11;None
FIAGRO XP CACI;2024-08-06T20:05:00,000Z;8,16;0;0;0;XPCA11;None
FII BEES CRICI;2024-08-06T20:00:00,000Z;66,62;0;0;0;BCRI11;None
FII XP CRED CI;2024-08-06T20:05:00,000Z;85,9;0;0;0;XPCI11;None
FII MERITO ICI  ER;2024-08-06T20:05:00,000Z;100,28;0;0;0;MFII11;None
FII TG ATIVOCI  ER;2024-08-06T20:05:00,000Z;117,67;0;0;0;TGAR11;None
FII BC FUND CI;2024-08-06T20:05:00,000Z;51;0;0;0;BRCR11;None
FII VINCI OFCI;2024-08-06T20:06:00,000Z;6,02;0;0;0;VINO11;None
FII BC FFII CI;2024-08-06T20:07:00,000Z;8,2;0;0;0;BCFF11;None
FII XP SELECCI;2024-08-06T20:06:00,000Z;7,36;0;0;0;XPSF11;None
FII BTLG    CI;2024-08-06T20:05:00,000Z;100,04;0;0;0;BTLG11;None
FII VBI LOG CI;2024-08-06T20:05:00,000Z;111,3;0;0;0;LVBI11;None
FII VINCI LGCI;2024-08-06T20:05:00,000Z;85,6;0;0;0;VILG11;None
FII XP LOG  CI;2024-08-06T20:06:00,000Z;101,21;0;0;0;XPLG11;None
FII HEDGEBS CI  ER;2024-08-06T20:05:00,000Z;213,61;0;0;0;HGBS11;None
FII VINCI SCCI;2024-08-06T20:07:36,000Z;112,49;0;0;0;VISC11;None
FII XP MALLSCI;2024-08-06T20:06:00,000Z;112;0;0;0;XPML11;None
FII TRX REALCI;2024-08-06T20:05:00,000Z;105,34;0;0;0;TRXF11;None
4,0604768
BTGP BANCO  UNT     N2;2024-08-06T20:07:00,000Z;32,28;0;0;0;BPAC11;None
ELETROBRAS  ON      N1;2024-08-06T20:07:35,000Z;37,54;0;0;0;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-08-06T20:07:46,000Z;24,21;0;0;0;TRPL4;4,0537011
ORIZON      ON      NM;2024-08-06T20:07:00,000Z;41,64;0;0;0;ORVR3;1,3348965
COSAN       ON      NM;2024-08-06T20:07:57,000Z;13;0;0;0;CSAN3;0,9669133
ITAUSA      PN      N1;2024-08-06T20:07:45,000Z;10,03;0;0;0;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-08-06T20:07:37,000Z;20,76;0;0;0;KLBN11;None
COPASA      ON      NM;2024-08-06T20:07:59,000Z;21,47;0;0;0;CSMG3;3,8743675
SANEPAR     UNT     N2;2024-08-06T20:07:52,000Z;28,58;0;0;0;SAPR11;None
PORTO SEGUROON      NM;2024-08-06T20:07:00,000Z;30,75;0;0;0;PSSA3;4,0028974
TIM         ON      NM;2024-08-06T20:07:36,000Z;17,14;0;0;0;TIMS3;1,1721633
TELEF BRASILON  EJ;2024-08-06T20:07:48,000Z;48,94;0;0;0;VIVT3;3,1367833
FII RIZA TX CI;2024-08-07T14:13:46,000Z;93,75;93,98;93,49;7115;RZTR11;None
FIAGRO XP CACI;2024-08-07T14:15:04,000Z;8,22;8,24;8,16;27419;XPCA11;None
FII BEES CRICI;2024-08-07T14:11:33,000Z;66,8;66,9;66,54;1080;BCRI11;None
