shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
TIM         ON      NM;2024-07-16T14:16:02,000Z;16,95;16,96;16,59;1356800;TIMS3;1,1721633
TELEF BRASILON;2024-07-16T14:12:45,000Z;49,26;49,56;49,1;313100;VIVT3;3,072659
FII RIZA TX CI;2024-07-17T14:14:41,000Z;94,6;94,76;94,27;6244;RZTR11;None
FIAGRO XP CACI;2024-07-17T14:14:57,000Z;8,1;8,12;8,07;20256;XPCA11;None
FII BEES CRICI;2024-07-17T14:15:59,000Z;66,87;66,87;66,81;1796;BCRI11;None
FII XP CRED CI;2024-07-17T14:16:08,000Z;87,65;87,68;87,59;1897;XPCI11;None
FII MERITO ICI;2024-07-17T14:15:27,000Z;101,4;101,55;101;6258;MFII11;None
FII TG ATIVOCI;2024-07-17T14:16:09,000Z;119,9;120,04;119,68;8296;TGAR11;None
FII BC FUND CI  ER;2024-07-17T14:16:08,000Z;51,6;51,64;51,3;3981;BRCR11;None
FII VINCI OFCI;2024-07-17T14:14:58,000Z;6,22;6,23;6,17;40527;VINO11;None
FII BC FFII CI  ER;2024-07-17T14:13:47,000Z;8,62;8,63;8,6;50031;BCFF11;None
FII XP SELECCI;2024-07-17T14:16:11,000Z;7,76;7,8;7,75;9118;XPSF11;None
FII BTLG    CI;2024-07-17T14:14:59,000Z;101,45;102;101,39;20118;BTLG11;None
FII VBI LOG CI;2024-07-17T14:15:33,000Z;114,78;115,41;114,17;5919;LVBI11;None
FII VINCI LGCI;2024-07-17T14:15:58,000Z;91,57;91,87;91,1;4235;VILG11;None
FII XP LOG  CI;2024-07-17T14:14:48,000Z;103,26;103,63;102,11;9804;XPLG11;None
FII HEDGEBS CI;2024-07-17T14:15:38,000Z;217,56;217,82;217;2492;HGBS11;None
FII VINCI SCCI;2024-07-17T14:15:00,000Z;114,7;114,81;113,67;10840;VISC11;None
FII XP MALLSCI;2024-07-17T14:16:10,000Z;114,1;114,16;113,76;28955;XPML11;None
FII TRX REALCI;2024-07-17T14:16:10,000Z;107,99;108,23;107,97;11123;TRXF11;None
BRASIL      ON      NM;2024-07-17T14:11:28,000Z;27,03;27,15;26,97;1792500;BBAS3;4,0604768
BTGP BANCO  UNT EJ  N2;2024-07-17T14:11:55,000Z;32,01;32,24;31,84;535600;BPAC11;None
ELETROBRAS  ON      N1;2024-07-17T14:16:14,000Z;38,86;39,07;38,75;410300;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-17T14:12:49,000Z;26;26,4;25,95;409700;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-17T14:16:07,000Z;42,09;42,49;41,56;56300;ORVR3;1,3348965
COSAN       ON      NM;2024-07-17T14:16:07,000Z;14,38;14,39;14,26;987600;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-17T14:14:53,000Z;10,23;10,26;10,18;3482800;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-17T14:15:55,000Z;21,51;21,54;21,33;280900;KLBN11;None
COPASA      ON      NM;2024-07-17T14:13:27,000Z;20,62;20,65;20,53;103500;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-17T14:16:10,000Z;27,2;27,28;26,98;151000;SAPR11;None
PORTO SEGUROON      NM;2024-07-17T14:16:14,000Z;30,74;30,83;30,63;65200;PSSA3;4,0028974
TIM         ON      NM;2024-07-17T14:16:12,000Z;16,98;17;16,84;619400;TIMS3;1,1721633
TELEF BRASILON;2024-07-17T14:13:15,000Z;49,37;49,4;48,9;181800;VIVT3;3,072659
FII RIZA TX CI;2024-07-18T14:13:18,000Z;95,12;95,18;94,65;6479;RZTR11;None
FIAGRO XP CACI;2024-07-18T14:14:53,000Z;8,22;8,22;8,1;65131;XPCA11;None
FII BEES CRICI;2024-07-18T14:14:53,000Z;67,15;67,3;67,02;1747;BCRI11;None
FII XP CRED CI;2024-07-18T14:11:05,000Z;88,02;88,03;87,6;2556;XPCI11;None
FII MERITO ICI;2024-07-18T14:08:21,000Z;101,1;101,5;100,98;1828;MFII11;None
FII TG ATIVOCI;2024-07-18T14:16:01,000Z;120,24;120,5;119,9;15114;TGAR11;None
FII BC FUND CI  ER;2024-07-18T14:16:02,000Z;51,35;51,49;51,17;2492;BRCR11;None
FII VINCI OFCI;2024-07-18T14:14:30,000Z;6,25;6,27;6,22;24832;VINO11;None
FII BC FFII CI  ER;2024-07-18T14:13:59,000Z;8,65;8,66;8,62;106371;BCFF11;None
FII XP SELECCI;2024-07-18T14:15:58,000Z;7,79;7,82;7,79;8107;XPSF11;None
