shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
FII VBI LOG CI;2024-12-02T15:43:33,000Z;95,88;97,48;95,5;16338;LVBI11;None
FII VINCI LGCI;2024-12-02T15:43:41,000Z;76,35;77,6;76,05;9179;VILG11;None
FII XP LOG  CI;2024-12-02T15:43:44,000Z;92,18;93,45;91,8;27710;XPLG11;None
FII HEDGEBS CI  ES;2024-12-02T15:43:44,000Z;190,85;192,98;190,4;8162;HGBS11;None
FII VINCI SCCI;2024-12-02T15:43:44,000Z;96,59;97;96,34;25880;VISC11;None
FII XP MALLSCI;2024-12-02T15:43:45,000Z;99,88;101,24;99,56;84593;XPML11;None
FII TRX REALCI;2024-12-02T15:43:42,000Z;100,35;101,87;100,24;22916;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-02T15:39:59,000Z;24,57;24,92;24,5;7500000;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-02T15:40:05,000Z;30,05;30,28;29,9;4262700;BPAC11;None
ISA ENERGIA PN      N1;2024-12-02T15:42:47,000Z;23,97;24,22;23,88;893700;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-02T15:43:34,000Z;41,27;41,83;41,26;110100;ORVR3;1,9278731
ITAUSA      PN      N1;2024-12-02T15:39:54,000Z;9,56;9,77;9,54;12388300;ITSA4;1,3595191
COPASA      ON      NM;2024-12-02T15:42:54,000Z;24,89;25,44;24,84;286200;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-02T15:43:47,000Z;37,51;37,99;37,45;918100;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-02T15:43:25,000Z;3,68;3,73;3,65;214000;FIQE3;0,4900955
TIM         ON      NM;2024-12-02T15:43:46,000Z;15,7;15,98;15,6;3538000;TIMS3;1,3174606
TELEF BRASILON;2024-12-02T15:40:01,000Z;49,31;49,44;48,7;1132200;VIVT3;3,2658407
PETZ        ON      NM;2024-12-02T15:40:00,000Z;4,38;4,4;4,23;3006400;PETZ3;0,0119488
SABESP      ON      NM;2024-12-02T16:45:01,000Z;92,4;92,94;91,33;1584900;SBSP3;13,6514839
FII RIZA TX CI;2024-12-03T15:05:31,000Z;86,87;87,39;86,87;18340;RZTR11;None
FII HGCR PAXCI;2024-12-03T15:04:24,000Z;94,39;94,82;94;18379;HGCR11;None
FII XP CRED CI;2024-12-03T15:04:31,000Z;76,33;77,26;75,48;6727;XPCI11;None
FII MERITO ICI;2024-12-03T15:04:05,000Z;92,52;93;92,51;1032;MFII11;None
FII TG ATIVOCI;2024-12-03T15:05:21,000Z;96,17;97,52;95,6;34793;TGAR11;None
FII BC FUND CI;2024-12-03T15:05:00,000Z;41,76;42,47;41,12;33095;BRCR11;None
FII XP SELECCI;2024-12-03T15:04:59,000Z;6,33;6,43;6,3;38963;XPSF11;None
FII BTLG    CI;2024-12-03T15:05:00,000Z;91,31;93,69;91,3;75919;BTLG11;None
FII VBI LOG CI;2024-12-03T15:05:18,000Z;92,32;93,9;92,15;22426;LVBI11;None
FII VINCI LGCI;2024-12-03T15:04:34,000Z;74,95;76,45;74,62;12322;VILG11;None
FII XP LOG  CI;2024-12-03T15:04:52,000Z;91,13;91,29;90,04;20092;XPLG11;None
